,FIPs,County,State,Zip_Code,Station
458,13147,Hart County,GA,30520,KGSP
459,13149,Heard County,GA,30108,KCTJ
460,13151,Henry County,GA,30236,KATL
461,13153,Houston County,GA,31025,KWRB
462,13155,Irwin County,GA,31733,KMGR
463,13157,Jackson County,GA,30548,KWDR
464,13159,Jasper County,GA,30014,KLZU
465,13161,Jeff Davis County,GA,31532,KDQH
466,13163,Jefferson County,GA,30810,KDNL
467,13165,Jenkins County,GA,30442,KJYL
468,13167,Johnson County,GA,31002,KDBN
469,13169,Jones County,GA,31211,KMCN
470,13171,Lamar County,GA,31016,KOPN
471,13173,Lanier County,GA,31605,KVAD
472,13175,Laurens County,GA,31002,KDBN
473,13177,Lee County,GA,31787,KABY
474,13179,Liberty County,GA,31316,KLHW
475,13181,Lincoln County,GA,30817,KDNL
476,13183,Long County,GA,31316,KLHW
477,13185,Lowndes County,GA,31636,KVLD
478,13187,Lumpkin County,GA,30534,KGVL
479,13189,McDuffie County,GA,30824,KDNL
480,13191,McIntosh County,GA,31319,KBQK
481,13193,Macon County,GA,31711,KLSF
482,13195,Madison County,GA,30565,KAHN
483,13197,Marion County,GA,31801,KLSF
484,13199,Meriwether County,GA,30241,KLGC
485,13201,Miller County,GA,39841,KBIJ
486,13205,Mitchell County,GA,31744,KMGR
487,13207,Monroe County,GA,31016,KOPN
488,13209,Montgomery County,GA,30457,KVDI
489,13211,Morgan County,GA,30625,KATL
490,13213,Murray County,GA,30711,KDNN
491,13215,Muscogee County,GA,31801,KLSF
492,13217,Newton County,GA,30014,KLZU
493,13219,Oconee County,GA,30638,KAHN
494,13221,Oglethorpe County,GA,30630,KAHN
495,13223,Paulding County,GA,30134,KFTY
496,13225,Peach County,GA,31076,KMCN
497,13227,Pickens County,GA,30534,KGVL
498,13229,Pierce County,GA,31551,KBHC
499,13231,Pike County,GA,30206,KOPN
500,13233,Polk County,GA,30124,KRMG
501,13235,Pulaski County,GA,31036,KWRB
502,13237,Putnam County,GA,30625,KATL
503,13239,Quitman County,GA,39854,KBIJ
504,13241,Rabun County,GA,30568,KAVL
505,13243,Randolph County,GA,39840,KBIJ
506,13245,Richmond County,GA,30912,KDNL
507,13247,Rockdale County,GA,30016,KATL
508,13249,Schley County,GA,31711,KLSF
509,13251,Screven County,GA,30424,KSAV
510,13253,Seminole County,GA,39825,KMAI
511,13255,Spalding County,GA,30223,KFFC
512,13257,Stephens County,GA,30598,KAJR
513,13259,Stewart County,GA,39854,KBIJ
514,13261,Sumter County,GA,31711,KLSF
515,13263,Talbot County,GA,31801,KLSF
516,13265,Taliaferro County,GA,30673,KIIY
517,13267,Tattnall County,GA,30420,KVDI
518,13269,Taylor County,GA,31076,KMCN
519,13271,Telfair County,GA,31037,KVDI
520,13273,Terrell County,GA,31721,KABY
521,13275,Thomas County,GA,31738,KMGR
522,13277,Tift County,GA,31733,KMGR
523,13279,Toombs County,GA,30436,KVDI
524,13281,Towns County,GA,30582,KRHP
525,13283,Treutlen County,GA,30457,KVDI
526,13285,Troup County,GA,30241,KLGC
527,13287,Turner County,GA,31714,KABY
528,13289,Twiggs County,GA,31031,KMCN
529,13291,Union County,GA,30514,KRHP
530,13293,Upson County,GA,31016,KOPN
531,13295,Walker County,GA,30752,KCHA
532,13297,Walton County,GA,30014,KLZU
533,13299,Ware County,GA,31552,KAYS
534,13301,Warren County,GA,30824,KDNL
535,13303,Washington County,GA,31096,KDBN
536,13305,Wayne County,GA,31543,KJES
537,13307,Webster County,GA,31825,KLSF
538,13309,Wheeler County,GA,30411,KVDI
539,13311,White County,GA,30527,KGVL
540,13313,Whitfield County,GA,30722,KDNN
541,13315,Wilcox County,GA,31072,KWRB
542,13317,Wilkes County,GA,30817,KDNL
543,13319,Wilkinson County,GA,31021,KDBN
544,13321,Worth County,GA,31791,KABY
545,15001,Hawaii County,HI,96740,PHKO
546,15003,Honolulu County,HI,96792,PHHI
547,15005,Kalawao County,HI,96742,PHMK
548,15007,Kauai County,HI,96754,PHLI
549,15009,Maui County,HI,96748,PHMK
550,16001,Ada County,ID,83642,KBOI
551,16003,Adams County,ID,83638,KMYL
552,16005,Bannock County,ID,83205,KPIH
553,16007,Bear Lake County,ID,83238,KPIH
554,16009,Benewah County,ID,83830,KPUW
555,16011,Bingham County,ID,83236,KIDA
556,16013,Blaine County,ID,83354,KSUN
557,16015,Boise County,ID,83637,KBOI
558,16017,Bonner County,ID,83822,KGEG
559,16019,Bonneville County,ID,83442,KIDA
560,16021,Boundary County,ID,83805,CYXC
561,16023,Butte County,ID,83244,KIDA
562,16025,Camas County,ID,83322,KSUN
563,16027,Canyon County,ID,83686,KEUL
564,16029,Caribou County,ID,83217,KPIH
565,16031,Cassia County,ID,83318,KBYI
566,16033,Clark County,ID,83423,KIDA
567,16035,Clearwater County,ID,83544,KPUW
568,16037,Custer County,ID,83253,KSUN
569,16039,Elmore County,ID,83648,KMUO
570,16041,Franklin County,ID,83237,KOGD
571,16043,Fremont County,ID,83425,KIDA
572,16045,Gem County,ID,83629,KBOI
573,16047,Gooding County,ID,83330,KJER
574,16049,Idaho County,ID,83549,KLWS
575,16051,Jefferson County,ID,83434,KIDA
576,16053,Jerome County,ID,83325,KTWF
577,16055,Kootenai County,ID,83810,KCOE
578,16057,Latah County,ID,83844,KPUW
579,16059,Lemhi County,ID,83253,KSUN
580,16061,Lewis County,ID,83555,KLWS
581,16063,Lincoln County,ID,83330,KJER
582,16065,Madison County,ID,83434,KIDA
583,16067,Minidoka County,ID,83343,KPIH
584,16069,Nez Perce County,ID,83555,KLWS
585,16071,Oneida County,ID,83252,KPIH
586,16073,Owyhee County,ID,83639,KEUL
587,16075,Payette County,ID,83619,KONO
588,16077,Power County,ID,83204,KPIH
589,16079,Shoshone County,ID,83830,KPUW
590,16081,Teton County,ID,83424,KDIJ
591,16083,Twin Falls County,ID,83303,KJER
592,16085,Valley County,ID,83638,KMYL
593,16087,Washington County,ID,83632,KBOI
594,17001,Adams County,IL,62301,KUIN
595,17003,Alexander County,IL,62914,KPAH
596,17005,Bond County,IL,62249,KALN
597,17007,Boone County,IL,61114,KRFD
598,17009,Brown County,IL,62375,KUIN
599,17011,Bureau County,IL,61560,KPIA
600,17013,Calhoun County,IL,62047,KSET
601,17015,Carroll County,IL,61053,KFEP
602,17017,Cass County,IL,62627,KIJX
603,17019,Champaign County,IL,61864,KCMI
604,17021,Christian County,IL,62545,KSPI
605,17023,Clark County,IL,62478,KRSV
606,17025,Clay County,IL,62448,KOLY
607,17027,Clinton County,IL,62249,KALN
608,17029,Coles County,IL,62447,KMTO
609,17031,Cook County,IL,60067,KPWK
610,17033,Crawford County,IL,62466,KAJG
611,17035,Cumberland County,IL,62447,KMTO
612,17037,DeKalb County,IL,60152,KDKB
613,17039,De Witt County,IL,61735,KBMI
614,17041,Douglas County,IL,61872,KCMI
615,17043,DuPage County,IL,60517,KLOT
616,17045,Edgar County,IL,61933,KPRG
617,17047,Edwards County,IL,62815,KAJG
618,17049,Effingham County,IL,62479,KLWV
619,17051,Fayette County,IL,62011,KTAZ
620,17053,Ford County,IL,60921,KPNT
621,17055,Franklin County,IL,62822,KMWA
622,17057,Fulton County,IL,61531,KPIA
